1	Kuwait	          29.20
2	Macau	          23.30
3	Congo, Republic of the	          14.00
4	Norway	          13.10
5	Brunei	           9.80
6	Qatar	           9.10
7	Saudi Arabia	           6.20
8	Malta	           5.50
9	United Arab Emirates	           5.00
10	Saint Kitts and Nevis	           4.80
11	Saint Pierre and Miquelon	           4.60
12	French Polynesia	           3.90
13	Belize	           3.50
14	Angola	           3.40
15	Solomon Islands	           2.50
16	Montenegro	           2.20
17	Gibraltar	           2.10
18	Seychelles	           2.00
19	Greenland	           1.90
20	Hong Kong	           1.80
21	Brazil	           1.60
22	Micronesia, Federated States of	           1.50
23	Switzerland	           1.40
24	Singapore	           1.30
25	Guernsey	           1.20
26	Turkmenistan	           1.10
27	Cook Islands	           1.00
28	Bosnia and Herzegovina	           1.00
29	Peru	           1.00
30	Iraq	           0.90
31	Korea, South	           0.70
32	Botswana	           0.60
33	Isle of Man	           0.50
34	Azerbaijan	           0.50
35	Marshall Islands	           0.40
36	Comoros	           0.40
37	Colombia	           0.40
38	Vanuatu	           0.30
39	Equatorial Guinea	           0.20
40	Bolivia	           0.10
41	Germany	           0.10
42	Poland	           0.00
43	Tajikistan	           0.00
44	British Virgin Islands	           0.00
45	Saint Vincent and the Grenadines	           0.00
46	Tonga	           0.00
47	Latvia	          -0.20
48	Belarus	          -0.20
49	Andorra	          -0.30
50	Armenia	          -0.30
51	Nicaragua	          -0.30
52	Uzbekistan	          -0.40
53	Jersey	          -0.40
54	Curacao	          -0.40
55	Korea, North	          -0.40
56	Libya	          -0.50
57	Russia	          -0.50
58	Estonia	          -0.50
59	Mauritania	          -0.60
60	Mali	          -0.70
61	Antigua and Barbuda	          -0.80
62	Lesotho	          -0.90
63	Chile	          -1.00
64	Swaziland	          -1.10
65	Monaco	          -1.20
66	Australia	          -1.30
67	Benin	          -1.30
68	Oman	          -1.30
69	Djibouti	          -1.40
70	Malawi	          -1.40
71	Iceland	          -1.50
72	Israel	          -1.50
73	Nigeria	          -1.50
74	Paraguay	          -1.60
75	Liechtenstein	          -1.60
76	Timor-Leste	          -1.60
77	Laos	          -1.60
78	Luxembourg	          -1.70
79	Moldova	          -1.80
80	Kosovo	          -1.80
81	Philippines	          -1.80
82	Trinidad and Tobago	          -1.80
83	Guinea-Bissau	          -1.80
84	Jamaica	          -1.80
85	Mauritius	          -1.90
86	New Zealand	          -1.90
87	Lithuania	          -2.00
88	Sweden	          -2.00
89	China	          -2.10
90	Czech Republic	          -2.10
91	Turkey	          -2.10
92	Finland	          -2.30
93	Kazakhstan	          -2.30
94	Algeria	          -2.30
95	Madagascar	          -2.30
96	Suriname	          -2.30
97	Niger	          -2.40
98	Bulgaria	          -2.40
99	Palau	          -2.40
100	Bhutan	          -2.40
101	Bermuda	          -2.50
102	Cayman Islands	          -2.50
103	Denmark	          -2.50
104	Ecuador	          -2.50
105	Mexico	          -2.50
106	Romania	          -2.50
107	Taiwan	          -2.50
108	Fiji	          -2.60
109	Uruguay	          -2.60
110	Panama	          -2.60
111	Cambodia	          -2.70
112	Guatemala	          -2.70
113	Uganda	          -2.70
114	Saint Lucia	          -2.70
115	Georgia	          -2.70
116	Ethiopia	          -2.80
117	Liberia	          -2.90
118	Austria	          -2.90
119	Hungary	          -2.90
120	Canada	          -2.90
121	San Marino	          -2.90
122	Guam	          -3.00
123	Dominican Republic	          -3.00
124	Sierra Leone	          -3.00
125	Nepal	          -3.10
126	Puerto Rico	          -3.10
127	Argentina	          -3.20
128	Belgium	          -3.20
129	Burkina Faso	          -3.20
130	Italy	          -3.30
131	Burundi	          -3.30
132	Netherlands	          -3.30
133	Indonesia	          -3.30
134	Cote d'Ivoire	          -3.40
135	Burma	          -3.40
136	Slovakia	          -3.40
137	Congo, Democratic Republic of the	          -3.50
138	United Kingdom	          -3.60
139	Togo	          -3.70
140	Cuba	          -3.70
141	Bahrain	          -3.80
142	United States	          -4.00
143	Gambia, The	          -4.00
144	Thailand	          -4.00
145	Tuvalu	          -4.00
146	Greece	          -4.00
147	El Salvador	          -4.00
148	Grenada	          -4.10
149	Macedonia	          -4.10
150	France	          -4.10
151	Kenya	          -4.10
152	Central African Republic	          -4.10
153	Vietnam	          -4.20
154	Cameroon	          -4.30
155	Rwanda	          -4.30
156	Slovenia	          -4.40
157	Malaysia	          -4.40
158	Croatia	          -4.40
159	Sudan	          -4.40
160	Iran	          -4.50
161	Kyrgyzstan	          -4.60
162	Papua New Guinea	          -4.60
163	South Africa	          -4.80
164	Bangladesh	          -4.90
165	Serbia	          -4.90
166	Anguilla	          -5.00
167	Falkland Islands (Islas Malvinas)	          -5.00
168	Costa Rica	          -5.00
169	Guinea	          -5.10
170	Portugal	          -5.10
171	Ukraine	          -5.20
172	Senegal	          -5.30
173	Haiti	          -5.40
174	Tanzania	          -5.60
175	India	          -5.70
176	Cyprus	          -5.70
177	Chad	          -5.90
178	American Samoa	          -6.10
179	Albania	          -6.10
180	Samoa	          -6.10
181	Honduras	          -6.20
182	Sri Lanka	          -6.40
183	Guyana	          -6.40
184	Namibia	          -6.50
185	Spain	          -6.80
186	Barbados	          -7.00
187	Ireland	          -7.20
188	Tunisia	          -7.50
189	Aruba	          -7.50
190	Dominica	          -7.50
191	Pakistan	          -7.70
192	Gabon	          -7.90
193	Northern Mariana Islands	          -7.90
194	Syria	          -8.00
195	Morocco	          -8.00
196	Mongolia	          -8.10
197	Bahamas, The	          -8.20
198	Japan	          -8.20
199	Zambia	          -8.40
200	Afghanistan	          -8.70
201	Mozambique	          -8.80
202	Lebanon	          -9.40
203	Ghana	          -9.50
204	Cabo Verde	          -9.80
205	Venezuela	          -9.80
206	Yemen	         -10.30
207	Jordan	         -11.30
208	Sao Tome and Principe	         -11.70
209	Faroe Islands	         -11.90
210	Maldives	         -12.30
211	Niue	         -12.60
212	Eritrea	         -13.00
213	Egypt	         -13.30
214	South Sudan	         -15.50
215	West Bank	         -16.60
216	Kiribati	         -29.80
